标题,豆瓣评分,链接,提取码
坠入,8.8,https://pan.baidu.com/s/1Zzg0_Ylkgul6BH5f0N859Q,wz9w
时时刻刻,8.6,https://pan.baidu.com/s/1ZYjJe0K98vQljgExNBjIHw,0f9i
神奇四侠,6.7,https://pan.baidu.com/s/1zWO4t8Eled9kuKTSI3rGQA,pf3o
战争之王,8.6,https://pan.baidu.com/s/1zWF_KyqoWQ7BMiXihykeaw,2333
宝贝计划,7.4,https://pan.baidu.com/s/1zHKPDFcDaILAoy7p2STSNg,mmvn
蝴蝶效应,8.8,https://pan.baidu.com/s/1zfNG1fZ3fMR8bSAmA_rl0Q,2333
千机变,5.8,https://pan.baidu.com/s/1ZF9DkhVyzUg_8ABqaY14sg,ikp0
蜀山传,6.7,https://pan.baidu.com/s/1zDLDNN1w-1XeB0e8HHYoJA,d23i
热血警探,8.2,https://pan.baidu.com/s/1zcVc697pA9l7DA9h05iIKw,lcgi
一个陌生女人的来信,7.5,https://pan.baidu.com/s/1Zc5AC16ajBlCBF4FApl1bw,2333
恋恋笔记本,8.5,https://pan.baidu.com/s/1z9bi26HLZ8HR3Lq91s7kdw,2333
疯狂的石头,8.5,https://pan.baidu.com/s/1Z2XiFQOL25BohIdvFGPpGA,2333
夜宴,5.9,https://pan.baidu.com/s/1Z2BVzkqlgwpzevWYzDfFgA,2333
苏州河,8.0,https://pan.baidu.com/s/1YVMRY_9SD5XewQcybB17nQ,0fuu
神奇四侠2,6.4,https://pan.baidu.com/s/1yvdz_3J2lK1fNy9lJtbxTQ,s0mz
本杰明·巴顿奇事,8.9,https://pan.baidu.com/s/1yqLPvZq2losyNgzW6jneQQ,2333
后天,8.2,https://pan.baidu.com/s/1yIfjqZq7gtSyhO1zOqOESw,qyle
致命ID,8.8,https://pan.baidu.com/s/1yI715xtcwr-3FdlbD4I3CA,wwc8
碟中谍3,7.5,https://pan.baidu.com/s/1yGmwdSNAsdgmWO6qwfv-1g,2333
恋空,6.9,https://pan.baidu.com/s/1Y9kQGzh1SNQvOIxlryHRhw,4814
遗愿清单,8.6,https://pan.baidu.com/s/1y9BvljuTNe-uUxEWXVs21A,2333
被嫌弃的松子的一生,8.9,https://pan.baidu.com/s/1xYPMR6zWur76Hsnr5zgeKQ,5i8c
马达加斯加2：逃往非洲,7.7,https://pan.baidu.com/s/1xVkkfrUwPot4hq0BtN0-7Q,2333
斗牛,8.0,https://pan.baidu.com/s/1xptWxMM0Ay9G1d9vnxR2Xg,2333
幻影凶间,7.5,https://pan.baidu.com/s/1XC2oDSHIeIVGLsGcrQzk7A,octg
我是传奇,8.1,https://pan.baidu.com/s/1XA-Y58-o-v_qufepwMNf_A,m817
率性而活,8.3,https://pan.baidu.com/s/1X4VR0hr5G12T7rf2EiRQzA,04j2
红辣椒,9.0,https://pan.baidu.com/s/1Ww2P0SMMb7AFTXtQBoA-Cg,xpv4
兵临城下,8.5,https://pan.baidu.com/s/1wvFAG8773JaP2G4hwhTSQA,2333
死神来了3,7.1,https://pan.baidu.com/s/1wUoy1xHJ5tZz8-ErTUiS6w,2333
李米的猜想,7.9,https://pan.baidu.com/s/1wTXxp7IwpJjnWDSJCXwBsQ,2333
查理和巧克力工厂,8.2,https://pan.baidu.com/s/1WS3fXf5zG8EtrJS6BMn7VA,2333
尖峰时刻3,6.7,https://pan.baidu.com/s/1wjWav9MwDxQpSC2Ate2n0g,2333
终结者2018,6.7,https://pan.baidu.com/s/1Wjos85f5J5Vunt38XWX2zA,2333
星球大战前传3：西斯的复仇,8.4,https://pan.baidu.com/s/1WJ_S4xAysPkVHUztm0m6rw,i39l
蓝色生死恋,8.2,https://pan.baidu.com/s/1wgKLOudyvXSqXeRLdFQYag,y4wa
理发师陶德,7.7,https://pan.baidu.com/s/1W60dDLtG7ZCfI_kWKqKj2Q,2333
断背山,8.8,https://pan.baidu.com/s/1W_pvpiow0d9QC6t9s3dm6Q,2333
叫我第一名,8.6,https://pan.baidu.com/s/1VYd5u3VLjKUDJFezHhs4hA,v627
窃听风暴,9.1,https://pan.baidu.com/s/1VwZyo6xhSbU5aT5O4gDJqg,2333
三峡好人,8.2,https://pan.baidu.com/s/1VOVMv8qvSnpYE7cprqzi5g,2333
死神来了4,6.5,https://pan.baidu.com/s/1VhhczAwX4Iqd_7sH0CoBBQ,2333
十二宫,7.4,https://pan.baidu.com/s/1VFBK8HeZsr5bYr21vGrxfQ,2333
无极,5.4,https://pan.baidu.com/s/1vAANWzytjTvAk25N4Y9MGw,yu99
非常完美,5.9,https://pan.baidu.com/s/1UtDQs3qLV0HeyaR5uZBwkw,9vdw
霹雳娇娃,6.8,https://pan.baidu.com/s/1urD_u1GTKtWlMOLk9QSujQ,2333
侏罗纪公园3,7.2,https://pan.baidu.com/s/1uPzYNUHsCyiISgaclC0zmw,rxo6
迷雾,7.9,https://pan.baidu.com/s/1uOEVc3Q-p6Xed5lyD6VBUg,t7yu
一一,9.0,https://pan.baidu.com/s/1unv9Uxw1tiz1Z9fWCerVqA,i06b
极限特工,7.3,https://pan.baidu.com/s/1UKR42-QROc9Y8JxfTxQdPQ,2c4m
通天塔,8.0,https://pan.baidu.com/s/1UK-IChwWlwU4KXnhJTqejA,2333
悬崖上的金鱼姬,8.5,https://pan.baidu.com/s/1UhXzwHWCxrJcxzlBbjRD_g,8j3i
记忆碎片,8.6,https://pan.baidu.com/s/1UGxcq4lZLazMGzbCvshbvA,2333
V字仇杀队,8.9,https://pan.baidu.com/s/1Uejv__-GfnEleC38Tpgx6g,uanp
听说,8.1,https://pan.baidu.com/s/1uBMl9jSzTI33yLD4Q3hY6g,2333
画皮,6.7,https://pan.baidu.com/s/1u7eaTW0l3fOXbpNWGSlFcw,4pb3
穆赫兰道,8.4,https://pan.baidu.com/s/1TzfagnvkfRRSNxhE392LxQ,2333
冷山,8.1,https://pan.baidu.com/s/1TwggpokV--u-uTlSw25nQA,f65j
立春,8.2,https://pan.baidu.com/s/1tubdD__DFOE39GY8ZuFBYQ,2333
香水,8.5,https://pan.baidu.com/s/1TTa3gEvxfhZaXKOnKmdLJw,2333
死神来了2,7.4,https://pan.baidu.com/s/1tqsp8_r14oLueqGXr_QoXg,2333
指环王3：王者无敌,9.2,https://pan.baidu.com/s/1tOq4Sd-2LxMyn5JpiHc0tQ,5t4u
朱诺,7.9,https://pan.baidu.com/s/1tLPzM1jnsWRJ8stqUAynBQ,uijy
电锯惊魂6,7.8,https://pan.baidu.com/s/1TFtwC6JT7WOw9QvSXgqlIg,jq51
血色将至,8.3,https://pan.baidu.com/s/1tFLNyXaYHGPr1GZDVH09JA,2333
南京！南京！,7.5,https://pan.baidu.com/s/1tb9XP6Qjc-hmtoF3po2ZKg,wxf9
穿普拉达的女王,8.1,https://pan.baidu.com/s/1TaJggauPNsEHDRTK6Jhfdg,2333
笑傲江湖,8.3,https://pan.baidu.com/s/1T046ftUzqkBtkMBUrLc7pg,3038
孤儿怨,8.2,https://pan.baidu.com/s/1sZqWxOpfDnZHlg3tpeYEAA,2333
大逃杀,8.0,https://pan.baidu.com/s/1ST141MTYEAsUrsXaqYeAYA,2ui7
大块头有大智慧,6.6,https://pan.baidu.com/s/1SR7xNMOFKpvfb9l1mx85Fw,jtl1
黑社会,8.2,https://pan.baidu.com/s/1SO1HMTTL0Tlx-kT5AmhVgg,fbsg
功夫,8.6,https://pan.baidu.com/s/1sliGNnB?fid=814486859425240,无
春夏秋冬又一春,8.5,https://pan.baidu.com/s/1SjnmadMqEqM9HMAIX6M1YA,2333
沙漠之花,8.7,https://pan.baidu.com/s/1sFtqwuNf99MvnvNHsD11tA,tfqi
金刚狼,7.5,https://pan.baidu.com/s/1seIXquEOKWhzxfCzRsj0Jw,2333
木乃伊3,5.6,https://pan.baidu.com/s/1S6KzNJzyoYTDKDXkqH0-zA,2333
大灌篮,5.4,https://pan.baidu.com/s/1rxkGb1rYIft-3CxbmMGQng,2333
入殓师,8.8,https://pan.baidu.com/s/1RI-5aEBkAkfP9jhYG4M_1g,2333
追风筝的人,8.2,https://pan.baidu.com/s/1rf2ktDk6u3QS9ZTZqvRDMg,fu08
蜘蛛侠,7.8,https://pan.baidu.com/s/1RCHr779hSFuddOVT2HNtVA,otqn
BJ单身日记,7.5,https://pan.baidu.com/s/1r9QlX2UbMEhD5s6j-JcTFw,l97k
飞行家,8.1,https://pan.baidu.com/s/1r0gaNB2IAiLDCRmu4nWoeA,krir
荒岛余生,8.6,https://pan.baidu.com/s/1r_gfnpbtirIbHe4e9dgn5w,2333
潘神的迷宫,7.8,https://pan.baidu.com/s/1QY_sH2l6KXiC3Hb9qj4NHQ,q7gx
功夫熊猫,8.1,https://pan.baidu.com/s/1qVgylYjFu9VZMb7TL0SpgQ,2333
加勒比海盗,8.7,https://pan.baidu.com/s/1QVD4Qy0PmzJsHv779dXcQg,4qdi
灵魂战车,6.6,https://pan.baidu.com/s/1qT9utztPWNRoZV-MNq0AKQ,zc9f
特洛伊,7.5,https://pan.baidu.com/s/1QsXb6CcIpzqYn58pz_IH4g,apzi
杀人回忆,8.8,https://pan.baidu.com/s/1qM0LrOGfmFx7zuBRuPGiZQ,qa99
重返十七岁,7.3,https://pan.baidu.com/s/1Qht_Ccy57FSYd9fyejSM0w,e6f0
角斗士,8.5,https://pan.baidu.com/s/1QfTzZdyotE_-8XeYebJnvg,2333
共同警备区,8.8,https://pan.baidu.com/s/1qbnTsaww4X_MabAYChoQfg,2333
艺伎回忆录,7.5,https://pan.baidu.com/s/1Q5ydD1NIzzpBnJILUTILaw,2333
死亡飞车,7.5,https://pan.baidu.com/s/1q4YWeWDIeQtDrWkwBi7eFQ,wfnk
功夫之王,5.6,https://pan.baidu.com/s/1q0xzLBfAkP0PNTEVaJw51Q,gkit
狙击电话亭,7.9,https://pan.baidu.com/s/1pw546-Lxwprf4QSk86kJgA,wtt1
刺猬的优雅,8.8,https://pan.baidu.com/s/1Pw_X3ENZVWtvB2yLJU4ltg,2333
赛车总动员,7.9,https://pan.baidu.com/s/1pTKQxU6-_RYEcjcmsg2xyg,9a7r
玛丽和马克思,8.9,https://pan.baidu.com/s/1pT2YPDaDqLbR8he-TLTmHg,2333
暮光之城,7.5,https://pan.baidu.com/s/1PRdTo2gA91EXOIst0OHe7w,e1zw
电锯惊魂,8.7,https://pan.baidu.com/s/1poMzcS3E5kKpkWIPKDwNDg,urh3
玩命快递,7.3,https://pan.baidu.com/s/1pkiIu9Q1dYnTdB_83ExMJQ,2333
天下无双,7.1,https://pan.baidu.com/s/1PJ9fwOLd_ntzw7GoAERUEA,mlaf
卢旺达饭店,8.9,https://pan.baidu.com/s/1pIbbWoc1Pn8GCwwTtBlMKQ,2333
特种部队：眼镜蛇的崛起,7.3,https://pan.baidu.com/s/1peZjQdz29cZ2go6xp9vc7Q,w37g
汉尼拔,8.2,https://pan.baidu.com/s/1P6MYSGNGxQQ3BYlDSh4rcw,2333
盲山,8.5,https://pan.baidu.com/s/1p58nQ1978jHXyo5YaiHw8A,2333
X战警3：背水一战,7.6,https://pan.baidu.com/s/1p28KwoOn1W2cYdB2KqQZig,263e
守望者,8.4,https://pan.baidu.com/s/1oTQ8TsI7GOwB6w7JzsVChw,46su
地球上的星星,8.9,https://pan.baidu.com/s/1oOFjGjXmCU6_iHmGibM2GA,5qkh
超人总动员,8.1,https://pan.baidu.com/s/1oOAGg5tqoP4uLMluca8iPA,2333
爱在日落黄昏时,8.8,https://pan.baidu.com/s/1OMpJL-BN__KUN2QNTKp1RA,vb0z
阿凡达,8.7,https://pan.baidu.com/s/1oJRN-rFFTfQjrITMpdIRwA,2333
站台,8.3,https://pan.baidu.com/s/1OgoY4jwsdkuJiijXW9A9Wg,3m7a
人工智能,8.6,https://pan.baidu.com/s/1OcgcNNS67ecZ0vBJAm9KyQ,fd91
杀破狼,7.4,https://pan.baidu.com/s/1o3yULV8_tlw8C3CEyPvyxQ,2333
太阳照常升起,8.2,https://pan.baidu.com/s/1o_i5YyS8P27i6nllgzPTIQ,2333
守法公民,8.0,https://pan.baidu.com/s/1nVO1iuOenbqMqo6gvL8fdw,2333
速度与激情4,7.8,https://pan.baidu.com/s/1Nude-eaHr0ylGcpUI6v8kg,o338
花样年华,8.6,https://pan.baidu.com/s/1nr8_qngcngKc8ddhLwu_mQ,2333
加勒比海盗3：世界的尽头,8.2,https://pan.baidu.com/s/1Nkho_bPC85CumyHt_BSelw,qfsd
亲切的金子,7.6,https://pan.baidu.com/s/1nGDUwAMz8mskN5YNxarKOw,u7cy
暮光之城2：新月,6.7,https://pan.baidu.com/s/1nCtoEgHSauCnAjIeC6GbsQ,2333
戴珍珠耳环的少女,7.8,https://pan.baidu.com/s/1N79Vq3L0MvSMoe0iEg79PQ,ce3e
空房间,8.0,https://pan.baidu.com/s/1N5pToCbim9wDWyIEPD_lLg,75o4
钢铁侠,8.3,https://pan.baidu.com/s/1n3_HEs1hj6KUQhQuqJKR0w,8m5z
变形金刚,8.2,https://pan.baidu.com/s/1MtrtkyWKXc1pdKvqQlqJHw,4fyk
黑客帝国3：矩阵革命,8.7,https://pan.baidu.com/s/1mTmnb_B-uzeE20YNRLmzsg,8888
指环王1：魔戒再现,9.0,https://pan.baidu.com/s/1MtFVoVCI4vL8n2RfwGdWTA,ne9z
少林足球,7.9,https://pan.baidu.com/s/1mRD0_cm5JD4dtBx8pxYMsg,qxd1
大卫·戈尔的一生,8.6,https://pan.baidu.com/s/1MQR8efq4IWc-gI4_kQcaUQ,8fnx
无姓之人,8.2,https://pan.baidu.com/s/1MQnLPvYWuYkD2zfwYisL1g,z1ie
杀死比尔2,8.0,https://pan.baidu.com/s/1mkQH5N4jitb30sDi18fxTQ,2333
黑客帝国2：重装上阵,8.6,https://pan.baidu.com/s/1MIZ0uVGme9lq75T8QjO_Ww,8888
生死狙击,7.8,https://pan.baidu.com/s/1MdANp-2KLIzE7GYWI9vO-w,41vq
鬼影,7.7,https://pan.baidu.com/s/1m9gLyOlY7JfSiQE2PGBawQ,2333
速度与激情3：东京漂移,6.8,https://pan.baidu.com/s/1m5p9oUCBHAjew_aRuRmxcg,qakf
你丫闭嘴！,8.1,https://pan.baidu.com/s/1m_RTX-hcRnT2GSiqXMZs0w,2333
美国精神病人,7.8,https://pan.baidu.com/s/1lzjHAlhBHbIenVwMitBMYQ,9999
2012,7.9,https://pan.baidu.com/s/1Ly5jQPNrgSN2TJ5EHYCi5w,f78b
海角七号,7.5,https://pan.baidu.com/s/1lTJFGZyUtvi4t2wVn3qd-Q,hu8i
苹果,6.6,https://pan.baidu.com/s/1lQtbIcm3GWkcI9LoEwsk8w,2333
傲慢与偏见,8.6,https://pan.baidu.com/s/1LPaQruo0Bx_eP_NVwPnCrA,2333
风声,8.2,https://pan.baidu.com/s/1LOPdNl92tVed8pVj-erX-A,ur3r
金刚,7.9,https://pan.baidu.com/s/1Lons9ok5U4f7IBxWBZ66yQ,om8g
机械师,7.6,https://pan.baidu.com/s/1Lnn7co8WKfM-534iiFccYA,2333
公主日记,7.5,https://pan.baidu.com/s/1lGdWazMLWNfa7sYs85DqiQ,gd6o
水果硬糖,7.5,https://pan.baidu.com/s/1lEKKeLqbpwF74JEqCu6UQg,g0kb
鼠来宝,7.5,https://pan.baidu.com/s/1LdVjbHorwG9j8n3UuE58yA,oh2w
和莎莫的500天,8.0,https://pan.baidu.com/s/1LDHjIsrkvjNHmzC6EvJ_Bg,atz9
贫民窟的百万富翁,8.6,https://pan.baidu.com/s/1LdecH9Wbw6S08IuTmK7Uxw,t784
十一罗汉,7.9,https://pan.baidu.com/s/1LayihfuTdtJoaxWliffUdg,sc7c
幸福终点站,8.8,https://pan.baidu.com/s/1L4_PxC9-I5lQl-clsWZ6ZA,jmbf
速度与激情,7.8,https://pan.baidu.com/s/1KXQMK8umKYqur7zFZAeBgw,eabu
西西里的美丽传说,8.9,https://pan.baidu.com/s/1Kxj_9yRl2iTXfUNCHLDpQA,2333
少数派报告,7.8,https://pan.baidu.com/s/1KUvnA8EJ2cWcoL_wsVSjwA,e3xn
蓝宇,8.3,https://pan.baidu.com/s/1kTsOT99#list/path=%2F,yhml
新宿事件,7.5,https://pan.baidu.com/s/1KKPIw-k3q13Wc1a-G-Fb7w,2333
电锯惊魂2,8.3,https://pan.baidu.com/s/1kI0dxuqe1E-aobYeL4P1Nw,mfm4
穿条纹睡衣的男孩,9.1,https://pan.baidu.com/s/1KfNfeVUAWJw6ayl1JbUWYQ,2333
荒野生存,8.6,https://pan.baidu.com/s/1KbGULKyWs8SDutxyyNiHGg,w619
冒牌天神,7.6,https://pan.baidu.com/s/1kb2PvP4Z5HO0d1_H4INgIA,x990
上帝之城,8.9,https://pan.baidu.com/s/1K3PMKVUIP2RTXB7Sd1KnEQ,fx7e
这个男人来自地球,8.5,https://pan.baidu.com/s/1JWvofCqAG65oCeCZ-cBECg,7ntf
鬼子来了,9.2,https://pan.baidu.com/s/1jPoFe_1DbBWBUxLl0Zoc-g,2333
尖峰时刻2,6.9,https://pan.baidu.com/s/1JLWHNtstUQnOJtOazqwItA,2333
大腕,7.8,https://pan.baidu.com/s/1jFwWepfGOXDAZuxglYmQ5g,5nvj
手机,7.3,https://pan.baidu.com/s/1JFwHvzIBZp9RAKBNCnZ22A,2333
我脑中的橡皮擦,7.9,https://pan.baidu.com/s/1JeXwxJpevCScWqFRhnhwYA,2333
老男孩,8.2,https://pan.baidu.com/s/1jAIM1XxsysACme6DbRn4cQ&shfl=sh,2333
杀手：代号47,7.2,https://pan.baidu.com/s/1J1ekANFxfReQx_xhszuJfw,1g9b
无间道,9.2,https://pan.baidu.com/s/1iVFTIHk4AD7ELP1w71WvBQ,2333
拆弹部队,7.8,https://pan.baidu.com/s/1IHZJzHNVU8Moq6QMglumZA,59qt
蝙蝠侠：黑暗骑士,9.2,https://pan.baidu.com/s/1ig-vhBM_585CYFr2H2PV-Q,7rls
十面埋伏,6.2,https://pan.baidu.com/s/1i4vkv9D3EWkQpQAGdnLvpA,2333
珍珠港,7.9,https://pan.baidu.com/s/1i4iUF2iR5LF8_XNdQlgONg,2333
夜·店,6.7,https://pan.baidu.com/s/1huHM8KFG8eohoyLIUWm5jA,fqiq
落叶归根,7.8,https://pan.baidu.com/s/1HTsEk5Pp1KXCobDegUPp4w,2h3y
撞车,8.6,https://pan.baidu.com/s/1hsa13FI,无
天下无贼,7.9,https://pan.baidu.com/s/1HQWqMDjfH1O5hxI2tnxSdA,bimc
狗镇,8.4,https://pan.baidu.com/s/1HlIFGJXzLV6QxijrcwGzzg,2333
时间旅行者的妻子,7.7,https://pan.baidu.com/s/1hIpsv7q2RB2KaqiMaLLMyw,9v5x
古墓丽影2,6.6,https://pan.baidu.com/s/1hBwuY_1peLMeq5HZHNei2A,2333
武林外传,9.5,https://pan.baidu.com/s/1ha2BPbmDZkNmirnfl33G6Q,tkwb
神话,6.7,https://pan.baidu.com/s/1h3L2uDMhv2xZQIvo7W9viQ,2333
卑劣的街头,7.9,https://pan.baidu.com/s/1gWI5WeKMyVZjgJK5QNVtWg,oz0l
换子疑云,8.4,https://pan.baidu.com/s/1GUCM2iczkiuAd_yM-HojUA,maao
投名状,7.3,https://pan.baidu.com/s/1GU9qZo0wpvNGwuVI15GnjA,9tmp
革命之路,8.1,https://pan.baidu.com/s/1gPlpSKQi8ork39LCWCgzvg,zxoq
朗读者,8.6,https://pan.baidu.com/s/1gP_dsvT14pIW3n7GZ9DEzg,2333
谍影重重3,8.8,https://pan.baidu.com/s/1gOEfllAdtZmI-vQLeYWEtw,2333
花魁,8.1,https://pan.baidu.com/s/1gFBAJ33gUt7IeTfHWHjw-g,3awn
绝代艳后,6.8,https://pan.baidu.com/s/1gdTvJbl?fid=1061974771301827,2333
